Name,Sub-Location,Address,Telephone,URL,Hours,Listedin,Modes of Payment,Year
 Akshra Play School & Day Care,Mugalivakkam,"No 40, Air India Colony Kumudam Nagar, Mugalivakkam, Chennai - 600125, Behind Dlf",['+(91)-44-33068981'],, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - 09:00 am - 07:00 pm || Sunday  - Closed,Playgroups- Language- Classes- For- English- Conversation- Kindergartens- Language- Classes- For- English- Language- Classes- For- Hindi- Abacus- Classes- Day- Care- Centres- Handwriting- Classes- Dance- Classes- For- Bharatnatyam,,2012
 TATVA PRE SCHOOL,Velacheri,"No 61, 8th Main Road, Velacheri, Chennai - 600042, Vijayanagar Near Sutherland",['+(91)-44-33893821'],www.tatvaschool.com, Monday  - 08:30 am - 06:30 pm || Tuesday  - 08:30 am - 06:30 pm || Wednesday  - 08:30 am - 06:30 pm || Thursday  - 08:30 am - 06:30 pm || Friday  - 08:30 am - 06:30 pm || Saturday  - 08:30 am - 06:30 pm || Sunday  - Closed,Kindergartens- Creche- Nursery- Schools- Personality- Development,Cash,2009
 Junior Legends,Kattupakkam,"Plot No 27, Kgt Nagar, Kattupakkam, Chennai - 600056, Near Maran Garden",['+(91)-44-33024171'],www.juniorlegends.co.in, Monday  - 08:30 am - 06:00 pm || Tuesday  - 08:30 am - 06:00 pm || Wednesday  - 08:30 am - 06:00 pm || Thursday  - 08:30 am - 06:00 pm || Friday  - 08:30 am - 06:00 pm || Saturday  - 08:30 am - 06:00 pm || Sunday  - 08:30 am - 06:00 pm,Primary- Schools- Kindergartens- Playgroups- Abacus- Classes- Summer- Camps- Arts- &- Crafts- Classes- Creche- Teacher- Training- Institutes- Nursery- Schools- Painting- Classes- more...,Cash- Cheques,2010
 SKB Vidhyashram Group Of Schools,Tambaram West,"No 10, 7th Street Krishna Nagar, Tambaram West, Chennai - 600045, Behind Krishna Nagar Police Booth",['+(91)-44-33189258'],www.skbvidhyashram.com, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Playgroups- Kindergartens- Day- Care- Centres- Handwriting- Classes- Montessori- Teacher- Training- Institutes- Primary- Schools- Montessori- Schools- Music- Classes- For- Drumset- Creche- more...,Cash- Master- Card- Visa- Card- Debit- Cards- Money- Orders- Cheques- Diners- Club- Card- Financing- Available- American- Express- Card- Credit- Card,2014
 British School,Anna Nagar,"Plot No 1060 H block, 25th Street Ponni Colony, Anna Nagar, Chennai - 600040, Near UCMAS",['+(91)-44-33028912'],www.brits.co.in, Monday  - 09:00 am - 05:00 pm || Tuesday  - 09:00 am - 05:00 pm || Wednesday  - 09:00 am - 05:00 pm || Thursday  - 09:00 am - 05:00 pm || Friday  - 09:00 am - 05:00 pm || Saturday  - 09:00 am - 05:00 pm || Sunday  - Closed,CBSE- Schools- Kindergartens- Playgroups- International- Schools- Primary- Schools- Nursery- Schools,Cash- Cheques,2011
 Unique Kids,West Mambalam,"No 15A, Magayampu Apartment Narasiman Street, West Mambalam, Chennai - 600033, Near Rama Anganeya Kovil",['+(91)-44-33058500'],www.uniquekids.com, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - Closed || Sunday  - Closed,Kindergartens- Day- Care- Centres,Cash- Cheques,1997
 Tiny Fingers Playschool,Chrompet,"No 1, Arcot Jambulingam Road Radha Nagar, Chrompet, Chennai - 600044, Near By Irt Polytechnic College",['+(91)-44-33890476'],www.tinyfingers.in, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Playgroups- Kindergartens- Day- Care- Centres- Handwriting- Classes- Dance- Classes- For- Western- Dance- Arts- &- Crafts- Classes- Montessori- Schools- Creche- Nursery- Schools- Dance- Classes- For- Children- more...,Cash- Cheques,2015
 Kidzee,Pallikaranai,"No 1 Tranquillnest, 3rd Main Road Kamakoti Nagar Annexe, Pallikaranai, Chennai - 600100, Near Balaji Dental Hosiptal",['+(91)-44-33048896'],www.kidzee.com, Monday  - 09:30 am - 05:30 pm || Tuesday  - 09:30 am - 05:30 pm || Wednesday  - 09:30 am - 05:30 pm || Thursday  - 09:30 am - 05:30 pm || Friday  - 09:30 am - 05:30 pm || Saturday  - 09:30 am - 05:30 pm || Sunday  - Closed,Kindergartens- Playgroups- Handwriting- Classes- Summer- Camp- Hand- Writing- Personality- Development- Training- Pre- School- Skills,,2011
 Little Millennium,Porur,"No 29, Ganesh Avenue Extension Sakthi Nagar, Porur, Chennai - 600116, Behind ICICI Bank",['+(91)-44-33045234'],www.littlemillennium.com, Monday  - 08:30 am - 08:00 pm || Tuesday  - 08:30 am - 08:00 pm || Wednesday  - 08:30 am - 08:00 pm || Thursday  - 08:30 am - 08:00 pm || Friday  - 08:30 am - 08:00 pm || Saturday  - 08:30 am - 08:00 pm || Sunday  - 10:00 am - 01:00 pm,Playgroups- Kindergartens- Day- Care- Centres- Summer- Camps- Primary- Schools- Montessori- Schools- Creche- Nursery- Schools- Creche- Hourly- more...,,2010
 Yatra Learning Space And Day Care,Besant Nagar,"No 51, Beach Road Kalakshetra Colony, Besant Nagar, Chennai - 600090, Near Mahatma Gandhi Corporation School",['+(91)-44-33152470'],www.yatraleaders.com, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - 09:00 am - 07:00 pm || Sunday  - Closed,Day- Care- Centres- Kindergartens- Playgroups,Cheques,2016
 ID International Preschool and Dance Studio,Chrompet,"No 9, 1st Floor Rajendra Prasad Road, Chrompet, Chennai - 600044, Opposite to Indian Bank",['+(91)-44-33058045'],www.idpreschool.com, Monday  - 09:00 am - 09:30 pm || Tuesday  - 09:00 am - 09:30 pm || Wednesday  - 09:00 am - 09:30 pm || Thursday  - 09:00 am - 09:30 pm || Friday  - 09:00 am - 09:30 pm || Saturday  - 09:00 am - 09:30 pm || Sunday  - 09:00 am - 09:30 pm,Kindergartens- Dance- Classes- Music- Classes- For- Keyboard- Music- Classes- For- Guitar- Primary- Schools- Dance- Classes- For- Western- Dance- Creche- Nursery- Schools- Dance- Classes- For- Children- Music- Classes- For- Carnatic- more...,Cash- Cheques,2014
 Little Elly,Velacheri,"No 105, Srinivasan Nagar 1st Street Murugu Nagar Extn, Velacheri, Chennai - 600042, Near SAN Academy School",['+(91)-44-39975255'],www.littleelly.com, Monday  - 09:00 am - 06:00 pm || Tuesday  - 09:00 am - 06:00 pm || Wednesday  - 09:00 am - 06:00 pm || Thursday  - 09:00 am - 06:00 pm || Friday  - 09:00 am - 06:00 pm || Saturday  - 09:00 am - 06:00 pm || Sunday  - Closed,Nursery- Schools- Kindergartens- Playgroups- Day- Care- Centres,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- Credit- Card,2013
 Velammal Matriculation Higher Secondary School,Mogappair East,"Velammal Gardens, Opposite Dav Boys School Near Velammal Hospital, Mogappair East, Chennai - 600037, T S Krishna Nagar","['+(91)-44-26561166', '26562820', '26560063']",, Monday  - 08:00 am - 04:00 pm || Tuesday  - 08:00 am - 04:00 pm || Wednesday  - 08:00 am - 04:00 pm || Thursday  - 08:00 am - 04:00 pm || Friday  - 08:00 am - 04:00 pm || Saturday  - 08:00 am - 04:00 pm || Sunday  - 05:30 am - 05:30 am,Schools- Kindergartens- English- Medium- Schools- Creche,Cash,1986
 St Patricks Anglo Indian Higher Secondary School,Adyar,"No 15, 1st Cresent Park Road, Adyar, Chennai - 600020, Gandhi Nagar Near Malar Hospital","['24417537', '24454792', '24454790', '24420209', '64503646', '+(91)-44-24454794']",, Monday  - 08:00 am - 06:00 pm || Tuesday  - 08:00 am - 06:00 pm || Wednesday  - 08:00 am - 06:00 pm || Thursday  - 08:00 am - 06:00 pm || Friday  - 08:00 am - 06:00 pm || Saturday  - 08:00 am - 06:00 pm || Sunday  - Closed,Schools- CBSE- Schools- Kindergartens- English- Medium- Schools- Primary- Schools- ICSE- Schools- Nursery- Schools,Cash,
 Sri Chaitanya Techno School,Perumbakkam,"Perumbakkam, Chennai - 600100, Near Global Hospitals, Indra Priyadharshini Nagar Layout Cheran Nagar","['+(91)-7358059384', '7358059385']",www.srichaitanyaschool.net, Monday  - 09:00 am - 05:30 pm || Tuesday  - 09:00 am - 05:30 pm || Wednesday  - 09:00 am - 05:30 pm || Thursday  - 09:00 am - 05:30 pm || Friday  - 09:00 am - 05:30 pm || Saturday  - 09:00 am - 05:30 pm || Sunday  - 09:00 am - 05:30 pm,Kindergartens- Primary- Schools- Montessori- Schools- Nursery- Schools,Cash- Master- Card- Visa- Card- Debit- Cards- American- Express- Card- Credit- Card,
 Sunshine Montessori School,Velacheri,"No 5, Rani Street, Velacheri, Chennai - 600042, Dr Seethapathy Nagar","['+(91)-44-22437171', '22581020']",, Monday  - 09:30 am - 12:30 pm || Tuesday  - 09:30 am - 12:30 pm || Wednesday  - 09:30 am - 12:30 pm || Thursday  - 09:30 am - 12:30 pm || Friday  - 09:30 am - 12:30 pm || Saturday  - Closed || Sunday  - Closed,Schools- Kindergartens,,
 Narayana E-Techno School,Ambattur,"No:610, Part-616/2, Murugappa Reddy Street, Ambattur, Chennai - 600053, AACINI SCHOOL",['+(91)-9597087991'],www.narayanagroup.com, Monday  - 07:30 am - 07:00 pm || Tuesday  - 07:30 am - 07:00 pm || Wednesday  - 07:30 am - 07:00 pm || Thursday  - 07:30 am - 07:00 pm || Friday  - 07:30 am - 07:00 pm || Saturday  - 07:30 am - 07:00 pm || Sunday  - 07:30 am - 07:00 pm,Schools- CBSE- Schools- Kindergartens- Playgroups- Montessori- Schools- ICSE- Schools- Nursery- Schools- IGCSE- Schools- Boys- Boarding- Schools- CBSE- Boarding- Schools- For- Girls- more...,Cash- Credit- Card- Master- Card- Visa- Card- Cheques- Debit- Cards- RTGS,2014
 Euro Kids,Anna Nagar,"No 3362 Z, AF Block 8th Street, Anna Nagar, Chennai - 600040, 11th Main Road","['+(91)-9500453335', '+(91)-44-26201715']",www.eurokidsindia.com, Monday  - 09:30 am - 06:30 pm || Tuesday  - 09:30 am - 06:30 pm || Wednesday  - 09:30 am - 06:30 pm || Thursday  - 09:30 am - 06:30 pm || Friday  - 09:30 am - 06:30 pm || Saturday  - 09:30 am - 06:30 pm || Sunday  - Closed,Kindergartens- Playgroups- Nursery- Schools,,2003
 Alphabet,Alwarpet,"No 178 B, St Marys Road, Alwarpet, Chennai - 600018, Opposite Rain Free Hotel","['+(91)-9380049968', '9383838777', '+(91)-44-42112025']",www.alphabetplayschool.com, Monday  - 09:00 am - 02:00 pm || Tuesday  - 09:00 am - 02:00 pm || Wednesday  - 09:00 am - 02:00 pm || Thursday  - 09:00 am - 02:00 pm || Friday  - 09:00 am - 02:00 pm || Saturday  - 09:00 am - 02:00 pm || Sunday  - Closed,Playgroups- Kindergartens,Cash- Cheques,2008
 Ebenezer Marcus Matriculation Higher Secondary School,Ambattur,"No 4, Ebenezer Street, Ambattur, Chennai - 600053, S V Nagar & Banu Nagar Pudur","['+(91)-44-26582315', '26585519', '26585546']",www.ebenezermarcus.com, Monday  - 09:00 am - 03:00 pm || Tuesday  - 09:00 am - 03:00 pm || Wednesday  - 09:00 am - 03:00 pm || Thursday  - 09:00 am - 03:00 pm || Friday  - 09:00 am - 03:00 pm || Saturday  - 09:00 am - 03:00 pm || Sunday  - Closed,English- Medium- Schools- Schools- Kindergartens- Primary- Schools- Nursery- Schools,Cash,1978
 SAN Academy,Velacheri,"No 21, Velacheri, Chennai - 600042, Voc Nagar Padmavathi Nagar",['+(91)-44-22590768'],www.sanacademy.edu.in, Monday  - 09:00 am - 03:00 pm || Tuesday  - 08:30 am - 03:00 pm || Wednesday  - 08:30 am - 03:00 pm || Thursday  - 08:30 am - 03:00 pm || Friday  - 08:30 am - 03:00 pm || Saturday  - 05:30 am - 05:30 am || Sunday  - 05:30 am - 05:30 am,Schools- CBSE- Schools- Kindergartens- Nursery- Schools,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- American- Express- Card- Credit- Card,2008
 Hairoonthai Public School,Valasaravakkam,"No 175, 5th Street Arcot Road Kadambadi Amman Nagar, Valasaravakkam, Chennai - 600087, Near Reliance Trends","['+(91)-7299054632', '9710472328', '65682013', '+(91)-44-65682014']",www.hairoonthaipublicschool.com, Monday  - 08:30 am - 04:00 pm || Tuesday  - 08:30 am - 04:00 pm || Wednesday  - 08:30 am - 04:00 pm || Thursday  - 08:30 am - 04:00 pm || Friday  - 08:30 am - 04:00 pm || Saturday  - 08:30 am - 02:00 pm || Sunday  - Closed,CBSE- Schools- Schools- Kindergartens- English- Medium- Schools- International- Schools- Nursery- Schools,Cash- Cheques,2011
 Dav Baba School,Velacheri,"No 4, Officers Colony Vijaya Nagar Extension 100 Feet Road, Velacheri, Chennai - 600042, Opposite Mohana Motors","['9444920033', '9444607879', '+(91)-44-22590426', '+(91)-9444175920', '22591426']",www.davbabaschool.com, Monday  - 08:30 am - 04:00 pm || Tuesday  - 08:30 am - 04:00 pm || Wednesday  - 08:30 am - 04:00 pm || Thursday  - 08:30 am - 04:00 pm || Friday  - 08:30 am - 04:00 pm || Saturday  - Closed || Sunday  - Closed,Playgroups- Schools- CBSE- Schools- Kindergartens- Primary- Schools- Nursery- Schools,Cash- Cheques,2010
 Achariya Bala Siksha Mandir,Valasaravakkam,"No 16a, Lamach Street, Valasaravakkam, Chennai - 600087, Near HDFC Bank","['+(91)-44-23455791', '+(91)-9486976009']",www.achariya.org, Monday  - 09:00 am - 05:30 pm || Tuesday  - 09:00 am - 05:30 pm || Wednesday  - 09:00 am - 05:30 pm || Thursday  - 09:00 am - 05:30 pm || Friday  - 09:00 am - 05:30 pm || Saturday  - 09:00 am - 05:30 pm || Sunday  - Closed,Schools- CBSE- Schools- Kindergartens- Language- Classes- For- English- Playgroups- International- Schools- Handwriting- Classes- Primary- Schools- Nursery- Schools- Dance- Schools- more...,Cash- Cheques,
 Scope Nursery & Primary School,Kilpauk,"No 9 A, Taylors Road, Kilpauk, Chennai - 600010, Near Mummy Daddy",['+(91)-44-26461047'],, Monday  - 09:00 am - 02:00 pm || Tuesday  - 09:00 am - 02:00 pm || Wednesday  - 09:00 am - 02:00 pm || Thursday  - 09:00 am - 02:00 pm || Friday  - 09:00 am - 02:00 pm || Saturday  - 09:00 am - 02:00 pm || Sunday  - 05:30 am - 05:30 am,Schools- Kindergartens- Playgroups- Primary- Schools- Creche- Nursery- Schools,,2005
 Doveton Oakley Nursery & Primary School,Choolai,"No 1, General Collins Road, Choolai, Chennai - 600007, Near Aloysius School",['+(91)-44-26460028'],, Monday  - 08:30 am - 04:00 pm || Tuesday  - 08:30 am - 04:00 pm || Wednesday  - 08:30 am - 04:00 pm || Thursday  - 08:30 am - 04:00 pm || Friday  - 08:30 am - 04:00 pm || Saturday  - 10:00 am - 01:00 pm || Sunday  - Closed,Schools- Kindergartens- Nursery- Schools,Cash,2010
 V Kids Pre School,Mogappair West,"No:8/16, Bharathi Salai, Mogappair West, Chennai - 600037, Near Mogappair West Bus Terminus","['+(91)-9940507706', '+(91)-44-60505777']",www.vkids.co.in, Monday  - 08:30 am - 04:30 pm || Tuesday  - 08:30 am - 04:30 pm || Wednesday  - 08:30 am - 04:30 pm || Thursday  - 08:30 am - 04:30 pm || Friday  - 08:30 am - 04:30 pm || Saturday  - 08:30 am - 04:30 pm || Sunday  - Closed,Schools- CBSE- Schools- Kindergartens- Playgroups- English- Medium- Schools- Primary- Schools- Montessori- Schools- Nursery- Schools,Cash- Cheques,
 Weebees,Raja Annamalai Puram,"no 89 bishop garden, Raja Annamalai Puram, Chennai - 600028, green ways road",['+(91)-8870043373'],www.weebees.in, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - 11:00 am - 07:00 pm || Sunday  - 12:00 am - 11:59 pm,Yoga- Classes- Kindergartens- Dance- Classes- Playgroups- Creche- Language- Classes- Activity- Clubs- Art- Classes- For- Children,Cash,2013
 Kidzee Pre School,Velacheri,"No 19 A Plot No 368, Vijayanagar 3rd Main Road, Velacheri, Chennai - 600042, Opposite Sutherland Near Vijayanagar Bus Stand","['+(91)-9941982444', '+(91)-44-22590324', '9941983444']",www.kidzee.com, Monday  - 09:30 am - 06:30 pm || Tuesday  - 09:30 am - 06:30 pm || Wednesday  - 09:30 am - 06:30 pm || Thursday  - 09:30 am - 06:30 pm || Friday  - 09:30 am - 06:30 pm || Saturday  - 09:30 am - 06:30 pm || Sunday  - 05:30 am - 05:30 am,Kindergartens- Primary- Schools- Nursery- Schools,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- American- Express- Card- Credit- Card,2009
 Hansel And Gretel Kids Centre,T Nagar,"Old No 6 New No 11, Jagadambal Street, T Nagar, Chennai - 600017, Off Dr Nair Road Near Residency Hotel & Vani Mahal","['+(91)-9840431549', '+(91)-44-43533073']",www.hanselandgretel.in, Monday  - 09:00 am - 07:00 pm || Tuesday  - 09:00 am - 07:00 pm || Wednesday  - 09:00 am - 07:00 pm || Thursday  - 09:00 am - 07:00 pm || Friday  - 09:00 am - 07:00 pm || Saturday  - 09:00 am - 08:00 pm || Sunday  - 05:30 am - 07:00 pm,Kindergartens- Summer- Camps- Playgroups- Training- Drawing- Kids- Training- Painting- Kids,Cash,2009
 Narayana E Techno School (Regional Office),Villivakkam,"Old No 7A New No 12/1, New Avadi Road, Villivakkam, Chennai - 600049, Near Nathamuni Signal","['42612205', '+(91)-44-42612204', '+(91)-9597087971']",www.narayanagroup.com, Monday  - 09:00 am - 08:00 pm || Tuesday  - 09:00 am - 08:00 pm || Wednesday  - 09:00 am - 08:00 pm || Thursday  - 09:00 am - 08:00 pm || Friday  - 09:00 am - 08:00 pm || Saturday  - 09:00 am - 08:00 pm || Sunday  - Closed,Schools- CBSE- Schools- Kindergartens- English- Medium- Schools- Primary- Schools- Montessori- Schools- Nursery- Schools,Cash- Cheques,1980
 VELS VIDHIYASHARMA PLAY SCHOOL,Nanganallur,"no-32,new no-29, Gangamabal street, Nanganallur, Chennai - 600061, Vetrrivel Cinemas",['+(91)-9940199291'],, Monday  - 09:30 am - 04:00 pm || Tuesday  - 09:30 am - 04:00 pm || Wednesday  - 09:30 am - 04:00 pm || Thursday  - 09:30 am - 04:00 pm || Friday  - 09:30 am - 04:00 pm || Saturday  - Closed || Sunday  - Closed,Kindergartens- Language- Classes- For- Hindi- Playgroups- Handwriting- Classes- Nursery- Schools- Dance- Schools,Cash- Credit- Card- American- Express- Master- Card- Visa- Card- Debit- Cards,2015
 The Lords International School,Tambaram West,"No 428/1, Munu Adhi Road Kiskintha Main Road, Tambaram West, Chennai - 600045, Samathuva Periyar Nagar","['+(91)-44-65459525', '65459524']",www.lordsinternationalschool.com, Monday  - 09:00 am - 04:30 pm || Tuesday  - 09:00 am - 04:30 pm || Wednesday  - 09:00 am - 04:30 pm || Thursday  - 09:00 am - 04:30 pm || Friday  - 09:00 am - 04:30 pm || Saturday  - 09:00 am - 04:30 pm || Sunday  - 05:30 am - 05:30 am,IGCSE- Schools- Schools- Kindergartens- Playgroups- English- Medium- Schools,Cash,2007
 Euro Kids,Kilpauk,"No 100/142, 4th Street Secretariat Colony, Kilpauk, Chennai - 600010","['+(91)-44-26420569', '+(91)-9790011825']",www.eurokidsindia.com, Monday  - 09:30 am - 02:30 am || Tuesday  - 09:30 am - 02:30 am || Wednesday  - 09:30 am - 02:30 am || Thursday  - 09:30 am - 02:30 am || Friday  - 09:30 am - 02:30 am || Saturday  - 09:30 am - 12:00 pm || Sunday  - Closed,Kindergartens- Playgroups- Primary- Schools- Nursery- Schools- Training- Pre- School- Skills,Cash- Cheques,
 Dawn School,Chinna Nolambur,"No 355, Andal Ammal Extension Street, Chinna Nolambur, Chennai - 600095, Mohappair West Nolambur Andal Ammal Street Extension Near Citylights Appartment & Mogappair Bus Depo","['+(91)-44-26535225', '26534554', '+(91)-9840081369']",www.dawnschool.in, Monday  - 08:30 am - 04:00 pm || Tuesday  - 08:30 am - 04:00 pm || Wednesday  - 08:30 am - 04:00 pm || Thursday  - 08:30 am - 04:00 pm || Friday  - 08:30 am - 04:00 pm || Saturday  - 09:00 am - 05:00 pm || Sunday  - 05:30 am - 05:30 am,Schools- CBSE- Schools- Kindergartens- English- Medium- Schools- International- Schools,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- American- Express- Card- Credit- Card,2008
 Euro Kids,Mogappair,"No 1246, Golden Colony, Mogappair, Chennai - 600037, Near Dav Girls School & Golden Flats","['9380614503', '+(91)-9840327790']",,,Kindergartens- Playgroups,Cash- Cheques,
 Velammal Global School,Pozhal,"No 46, Ambattur Redhills Road, Pozhal, Chennai - 600066, Near Omayal Nursing College & Opposite Metro Water","['26590613', '+(91)-44-60501525', '+(91)-8939826419', '26590614']",www.velammalglobal.edu.in, Monday  - 08:00 am - 05:00 pm || Tuesday  - 08:00 am - 05:00 pm || Wednesday  - 08:00 am - 05:00 pm || Thursday  - 08:00 am - 05:00 pm || Friday  - 08:00 am - 05:00 pm || Saturday  - 08:00 am - 05:00 pm || Sunday  - Closed,Schools- Kindergartens- Playgroups,Cash,2014
 Learning Tree Montessori School,Adyar,"No 7, 2nd Street, Adyar, Chennai - 600020, Venkateshwara Nagar","['+(91)-44-24461470', '+(91)-9840653086']",www.learningtreechennai.com, Monday  - 09:00 am - 02:30 pm || Tuesday  - 09:00 am - 02:30 pm || Wednesday  - 09:00 am - 02:30 pm || Thursday  - 09:00 am - 02:30 pm || Friday  - 09:00 am - 02:30 pm || Saturday  - Closed || Sunday  - Closed,Schools- Kindergartens- Playgroups- Primary- Schools- Montessori- Schools- Nursery- Schools- Language- Classes- Personality- Development- Training- Childhood- Education- Training- Reading,Cash- Cheques,2002
 The Wonder Years Playschool,Chetpet,"Old No 7 New No 13, Harrington Road, Chetpet, Chennai - 600031, Inside Lady Andal School","['+(91)-44-31902727', '+(91)-8608262626']",www.thewonderyearsplayschool.com, Monday  - 09:00 am - 05:00 pm || Tuesday  - 09:00 am - 05:00 pm || Wednesday  - 09:00 am - 05:00 pm || Thursday  - 09:00 am - 05:00 pm || Friday  - 09:00 am - 05:00 pm || Saturday  - Closed || Sunday  - Closed,Playgroups- Kindergartens,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- Credit- Card,2010
 Achariya Bala Siksha Mandir,Virugambakkam,"No 29, 2nd Street, Virugambakkam, Chennai - 600092, Baskar Colony Near Baskar Colony Park",['+(91)-9486996009'],www.achariya.in, Monday  - 09:30 am - 06:30 pm || Tuesday  - 09:30 am - 06:30 pm || Wednesday  - 09:30 am - 06:30 pm || Thursday  - 09:30 am - 06:30 pm || Friday  - 09:30 am - 06:30 pm || Saturday  - 09:30 am - 06:30 pm || Sunday  - Closed,Schools- Kindergartens- Playgroups- Primary- Schools- Nursery- Schools,,
 A School India Pvt Ltd Anna Nagar,Anna Nagar East,"Plot No 273 F3 New No 71, 2nd Main Road, Anna Nagar East, Chennai - 600102, Opp To Tanishq Showroom",['+(91)-9094770000'],www.aschool.in, Monday  - 09:30 am - 02:00 pm || Tuesday  - 09:30 am - 02:00 pm || Wednesday  - 09:30 am - 02:00 pm || Thursday  - 09:30 am - 02:00 pm || Friday  - 09:30 am - 02:00 pm || Saturday  - Closed || Sunday  - Closed,Schools- Kindergartens- Playgroups- Montessori- Schools,,
 Euro Kids,Alwarpet,"New No 7 Old No 3, Sriram Colony, Alwarpet, Chennai - 600018, Near To Abirami Police Station",['+(91)-44-24995734'],, Monday  - 09:30 am - 12:00 pm || Tuesday  - 09:30 am - 12:00 pm || Wednesday  - 09:30 am - 12:00 pm || Thursday  - 09:30 am - 12:00 pm || Friday  - 09:30 am - 12:00 pm || Saturday  - Closed || Sunday  - Closed,Kindergartens- Playgroups,,
 Kidzee Pre School,Chrompet,"No 9, Thiruvalluvar Street, Chrompet, Chennai - 600044, Hasthinapuram","['+(91)-9894884888', '9865997469', '9320063100']",www.kidzee.com, Monday  - 09:00 am - 12:30 pm || Tuesday  - 09:00 am - 12:30 pm || Wednesday  - 09:00 am - 12:30 pm || Thursday  - 09:00 am - 12:30 pm || Friday  - 09:00 am - 12:30 pm || Saturday  - 09:00 am - 12:30 pm || Sunday  - Closed,Kindergartens- Playgroups,,
 Euro Kids,Nanganallur,"New No 38, 5th Main Road, Nanganallur, Chennai - 600061, Opp Pankajam Memorial Hospital,Behind To Nanganallur Eb Office,Nanganallur","['9884490727', '+(91)-9003227388']",,,Kindergartens- Playgroups- Nursery- Schools,,2000
 Kidzee Pre School,Mogappair East,"No 1026, 6th Main Road, Mogappair East, Chennai - 600037, Near Sboa Matriculation School","['9320063100', '9600014830', '+(91)-9176958277']",www.kidzee.com, Monday  - 09:30 am - 12:30 pm || Tuesday  - 09:30 am - 12:30 pm || Wednesday  - 09:30 am - 12:30 pm || Thursday  - 09:30 am - 12:30 pm || Friday  - 09:30 am - 12:30 pm || Saturday  - 05:30 am - 12:30 pm || Sunday  - 05:30 am - 12:30 pm,Kindergartens- Playgroups- Handwriting- Classes- Nursery- Schools,Cash- Cheques,2009
 Achariya Bala Siksha Mandir,Saligramam,"Plot No 33, 80 Feet Road Sathya Garden, Saligramam, Chennai - 600093, Near SAI Sathya School","['+(91)-9840140176', '9360293685']",www.achariya.in, Monday  - 09:00 am - 03:00 pm || Tuesday  - 09:00 am - 03:00 pm || Wednesday  - 09:00 am - 03:00 pm || Thursday  - 09:00 am - 03:00 pm || Friday  - 09:00 am - 03:00 pm || Saturday  - Closed || Sunday  - Closed,Playgroups- Kindergartens- Training- Pre- School- Skills,Cash- Cheques,2009
 Kidzee Pre School,Teynampet,"No 1, 2nd Cross Street, Teynampet, Chennai - 600018, Seethammal Extexsion Near SIET College","['+(91)-9500055277', '9320063100', '9840047801']",www.kidzee.com, Monday  - 09:30 am - 12:00 pm || Tuesday  - 09:30 am - 12:00 pm || Wednesday  - 09:30 am - 12:00 pm || Thursday  - 09:30 am - 12:00 pm || Friday  - 09:30 am - 12:00 pm || Saturday  - 09:30 am - 12:00 pm || Sunday  - Closed,Kindergartens- Playgroups,,
